,Female,Male,Not_Married,Married,No_Dependent,1_Dependent,2_Dependents,3+_Dependents,Graduate,Not_Graduate,Not_Self_Employed,Self_Employed,Rural,Semiurban,Urban,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
52,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,286,0,65,8,1,0
53,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,310,0,87,8,1,0
54,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,466,0,173,8,0,0
55,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,104,33,50,8,1,1
56,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,45,68,49,8,1,1
57,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,191,144,88,8,1,0
58,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,432,149,127,8,1,1
59,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,188,192,97,8,1,1
60,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,84,231,73,8,1,1
61,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,144,0,52,8,1,1
62,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,92,222,117,5,0,0
63,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,336,0,100,8,0,0
64,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,279,0,69,8,0,0
65,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,367,253,165,8,1,0
66,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,171,151,79,5,0,0
67,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,460,0,181,8,1,1
68,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,413,0,78,2,1,1
69,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,290,0,89,8,0,0
70,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,172,204,122,8,1,1
71,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,26,107,50,8,1,1
72,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,207,0,37,7,1,1
73,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,324,0,48,8,0,0
74,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,348,89,133,8,1,1
75,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,240,0,66,9,1,0
76,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,240,256,125,8,1,0
77,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,5,201,63,8,1,0
78,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,166,237,127,7,0,0
79,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,186,140,83,8,1,1
80,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,249,0,64,8,1,1
81,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,70,0,100,8,1,1
82,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,8,108,119,8,1,0
83,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,381,149,168,8,1,0
84,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,265,0,14,6,1,1
85,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,67,176,89,8,1,1
86,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,186,118,52,8,1,1
87,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,84,134,57,8,1,1
88,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,436,0,146,8,1,1
89,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,364,240,124,8,1,1
90,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,133,193,84,8,1,1
91,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,392,268,134,5,1,1
92,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,180,97,37,8,1,1
93,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,277,0,75,8,1,1
94,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,224,0,2,4,1,1
95,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,407,0,100,8,1,0
96,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,80,154,90,8,1,1
97,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,34,20,14,8,1,1
98,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,282,0,68,5,1,1
99,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,15,224,84,8,1,1
100,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,289,212,86,5,1,1
101,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,327,233,104,8,1,1
102,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,473,0,100,8,1,1
103,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,312,225,100,8,1,1
104,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,247,13,113,8,1,1
105,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,147,24,53,8,1,1
106,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,465,31,151,8,1,1
107,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,418,0,73,8,1,0
108,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,243,226,149,8,0,0
109,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,42,13,47,9,1,1
110,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,350,0,89,8,1,1
111,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,129,157,92,8,1,1
112,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,214,239,105,8,0,0
113,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,420,0,100,8,1,1
114,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,340,0,71,8,1,1
115,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,474,0,131,5,1,1
116,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,166,153,107,8,1,1
117,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,54,47,40,8,1,1
118,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,360,137,124,8,1,0
119,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,457,0,166,8,1,1
120,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,362,181,127,8,1,1
121,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,279,0,9,8,1,1
122,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,46,281,90,8,0,1
123,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,132,0,37,8,1,1
124,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,290,120,138,8,1,1
125,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,232,0,46,8,1,1
126,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,497,0,189,8,1,1
127,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,253,74,100,8,1,1
128,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,459,234,113,5,0,0
129,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,386,178,129,8,1,0
130,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,493,0,202,9,1,1
131,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,37,112,32,8,1,1
132,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,106,0,28,8,1,1
133,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,202,0,2,4,1,1
134,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,332,0,55,8,1,1
135,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,268,277,174,8,1,0
136,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,306,0,39,8,1,0
137,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,184,223,43,8,1,1
138,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,478,0,158,8,0,0
139,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,284,53,82,8,1,0
140,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,339,130,131,8,1,0
141,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,353,0,120,8,1,1
142,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,411,0,124,5,1,1
143,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,102,123,75,8,1,1
144,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,467,0,133,5,1,1
145,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,64,250,53,8,1,1
146,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,476,0,28,8,1,1
147,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,11,52,4,8,1,1
148,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,454,77,151,8,1,0
149,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,328,15,78,8,1,1
150,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,394,0,71,8,0,0
151,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,89,230,105,8,1,1
152,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,442,0,160,8,1,0
153,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,60,0,66,8,1,0
154,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,179,0,14,8,1,1
155,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,501,0,201,5,0,1
156,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,381,0,113,8,1,1
157,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,449,0,133,8,1,1
158,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,136,130,73,8,1,1
159,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,306,267,164,8,1,1
160,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,25,27,51,8,1,1
161,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,428,0,170,8,1,0
162,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,156,40,74,8,0,0
163,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,280,54,111,8,1,1
164,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,444,0,33,5,1,1
165,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,234,207,129,8,1,1
166,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,306,0,65,8,1,0
167,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,75,215,82,8,1,1
168,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,56,0,24,9,0,0
169,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,430,0,140,8,1,1
170,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,20,88,48,8,1,1
171,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,502,0,203,7,1,1
172,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,209,0,37,5,1,0
173,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,366,267,133,8,1,1
174,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,295,12,42,8,1,0
175,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,206,114,69,8,1,1
176,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,39,71,54,8,1,1
177,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,358,283,197,8,0,0
178,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,240,0,69,8,1,1
179,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,65,55,55,9,0,0
180,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,399,276,127,8,0,0
181,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,29,260,27,8,1,0
182,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,307,0,31,5,1,1
183,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,498,0,167,8,1,0
184,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,225,0,61,8,1,1
185,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,500,256,73,8,1,1
186,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,51,0,26,7,0,0
187,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,69,136,19,8,1,1
188,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,4,263,120,8,1,1
189,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,445,0,134,5,1,1
190,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,330,0,13,8,1,1
191,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,468,0,116,8,1,0
192,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,382,0,113,8,1,0
193,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,251,0,34,8,1,1
194,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,283,0,73,8,1,1
195,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,160,179,121,8,1,0
196,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,434,230,133,8,1,1
197,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,28,161,73,8,1,1
198,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,196,188,66,8,1,1
199,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,462,0,38,8,1,0
200,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,91,173,45,8,1,1
201,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,334,0,118,8,0,1
202,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,266,0,100,5,1,0
203,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,207,28,88,8,1,1
204,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,259,0,77,8,1,1
205,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,300,0,73,8,1,1
206,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,176,0,36,8,1,1
207,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,263,176,17,8,1,1
208,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,78,0,20,8,1,1
209,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,198,0,80,8,1,0
210,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,454,0,148,8,1,0
211,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,200,37,81,8,0,0
212,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,426,0,157,8,1,1
213,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,365,0,83,8,1,1
214,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,167,200,90,8,1,1
215,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,250,18,53,8,1,1
216,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,94,88,8,1,0
217,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,238,90,84,8,1,1
218,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,338,0,30,8,0,0
219,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,288,163,80,8,1,1
220,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,55,0,21,8,0,0
221,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,270,83,69,8,1,1
222,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,135,186,97,8,1,1
223,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,421,22,124,8,1,1
224,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,392,0,81,8,1,1
225,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,178,0,121,8,1,0
226,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,322,0,91,8,1,0
227,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,392,80,146,8,1,1
228,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,325,0,111,9,1,1
229,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,399,0,140,8,1,1
230,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,81,126,57,8,1,1
231,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,236,0,8,5,1,1
232,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,170,180,73,8,1,1
233,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,434,0,172,8,1,1
234,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,162,91,93,8,1,1
235,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,356,39,121,8,1,1
236,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,368,0,164,8,1,0
237,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,203,0,75,8,1,1
238,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,244,0,65,8,1,1
239,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,183,0,49,8,1,1
240,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,373,259,73,8,1,1
241,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,86,115,93,5,1,0
242,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,134,269,108,2,1,1
243,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,392,42,61,8,1,1
244,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,194,249,76,8,1,1
245,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,384,247,73,5,1,0
246,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,451,0,65,8,1,1
247,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,404,0,90,5,1,1
248,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,121,101,76,9,1,1
249,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,18,105,45,8,1,1
250,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,14,235,141,8,0,0
251,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,199,0,91,8,1,0
252,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,90,141,57,8,1,1
253,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,98,273,171,5,1,1
254,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,482,0,137,8,0,0
255,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,153,0,164,8,1,1
256,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,383,0,68,8,0,0
257,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,347,0,47,8,1,0
258,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,475,132,178,8,1,0
259,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,335,0,81,8,1,0
260,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,387,243,185,8,1,1
261,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,41,145,87,8,1,1
262,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,205,0,108,1,1,0
263,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,416,0,73,8,1,1
264,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,343,0,81,8,1,1
265,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,273,221,104,8,1,1
266,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,320,46,103,8,1,1
267,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,293,96,113,8,0,1
268,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,198,0,88,8,1,0
269,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,120,65,45,8,1,1
270,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,175,0,4,8,1,1
271,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,463,0,89,8,1,1
272,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,117,103,79,8,1,1
273,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,93,147,103,8,1,1
274,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,257,0,45,8,1,1
275,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,109,100,68,8,1,1
276,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,267,213,143,8,1,1
277,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,159,42,36,8,1,1
278,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,474,0,194,8,1,1
279,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,274,0,77,8,1,1
280,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,272,168,111,8,0,0
281,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,260,14,65,8,1,1
282,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,62,19,35,5,1,1
283,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,19,77,16,8,1,1
284,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,495,0,100,8,1,0
285,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,163,203,44,8,1,1
286,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,91,83,52,7,1,0
287,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,233,118,73,8,1,1
288,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,276,0,68,8,1,1
289,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,448,0,133,8,1,1
290,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,152,166,92,8,1,1
291,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,299,0,80,8,0,0
292,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,161,65,87,8,1,1
293,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,353,0,96,9,0,0
294,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,69,216,122,8,1,1
295,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,301,37,63,8,1,1
296,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,410,0,140,8,1,1
297,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,313,0,88,8,1,1
298,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,338,177,104,9,1,0
299,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,37,195,66,8,1,0
300,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,17,196,46,8,0,0
301,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,119,87,58,8,1,1
302,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,338,0,85,8,1,1
303,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,13,95,49,8,1,1
304,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,268,173,93,8,1,1
305,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,36,0,100,8,1,0
306,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,241,77,88,8,1,1
307,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,71,104,57,8,0,0
308,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,494,0,195,8,1,0
309,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,424,0,131,8,1,1
310,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,126,0,39,8,1,1
